beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,976.0,237000.0,976.0,0.0,0.0,0.0,922.0,183000.0,922.0
1e-05,976.0,237000.0,978.37,0.0,0.0,0.0,922.0,183000.0,923.83
2e-05,976.0,237000.0,980.74,0.0,0.0,0.0,922.0,183000.0,925.66
4e-05,976.0,237000.0,985.48,0.0,0.0,0.0,922.0,183000.0,929.32
8e-05,976.0,237000.0,994.96,0.0,0.0,0.0,922.0,183000.0,936.64
0.0001,976.0,237000.0,999.7,0.0,0.0,0.0,922.0,183000.0,940.3
0.0002,976.0,237000.0,1023.4,0.0,0.0,0.0,922.0,183000.0,958.6
0.0004,976.0,237000.0,1070.8,0.0,0.0,0.0,922.0,183000.0,995.2
0.0008,976.0,237000.0,1165.6,0.0,0.0,0.0,922.0,183000.0,1068.4
0.001,976.0,237000.0,1213.0,0.0,0.0,0.0,922.0,183000.0,1105.0
0.002,975.0,237900.0,1450.8,0.0,0.0,0.0,922.0,183000.0,1288.0
0.004,974.0,239650.0,1932.6,0.0,0.0,0.0,922.0,183000.0,1654.0
0.008,973.0,238750.0,2883.0,0.0,0.0,0.0,673.0,230400.0,2516.2
0.01,973.0,239550.0,3368.5,0.0,0.0,0.0,673.0,230400.0,2977.0
0.02,960.0,242500.0,5810.0,0.0,0.0,0.0,673.0,230400.0,5281.0
0.04,949.0,244050.0,10711.0,0.0,0.0,0.0,673.0,230400.0,9889.0
0.08,716.0,256950.0,21272.0,0.0,0.0,0.0,673.0,230400.0,19105.0
0.1,706.0,256400.0,26346.0,0.0,0.0,0.0,673.0,230400.0,23713.0
0.2,702.0,255400.0,51782.0,0.0,0.0,0.0,673.0,230400.0,46753.0
0.4,704.0,256250.0,103204.0,0.0,0.0,0.0,673.0,230400.0,92833.0
1.0,704.0,255500.0,256204.0,0.0,0.0,0.0,673.0,230400.0,231073.0
10.0,702.0,257400.0,2574702.0,0.0,0.0,0.0,673.0,230400.0,2304673.0
