beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,955.0,149000.0,955.0,0.0,0.0,0.0,892.0,145850.0,908.0
1e-05,955.0,154700.0,956.547,0.0,0.0,0.0,870.0,150450.0,909.086
2e-05,955.0,154100.0,958.082,0.0,0.0,0.0,911.0,120000.0,913.4
4e-05,954.0,154950.0,960.198,0.0,0.0,0.0,872.0,150850.0,912.344
8e-05,955.0,155650.0,967.452,0.0,0.0,0.0,908.0,122350.0,917.788
0.0001,956.0,154050.0,971.405,0.0,0.0,0.0,880.0,149900.0,918.86
0.0002,956.0,160550.0,988.11,0.0,0.0,0.0,856.0,154600.0,929.72
0.0004,956.0,160550.0,1020.22,0.0,0.0,0.0,907.0,121650.0,955.66
0.0008,955.0,161550.0,1084.24,0.0,0.0,0.0,906.0,121950.0,1003.56
0.001,957.0,161200.0,1118.2,0.0,0.0,0.0,847.0,155700.0,1022.65
0.002,947.0,169600.0,1286.2,0.0,0.0,0.0,829.0,163650.0,1156.3
0.004,938.0,174200.0,1634.8,0.0,0.0,0.0,803.0,167450.0,1490.8
0.008,892.0,182450.0,2351.6,0.0,0.0,0.0,755.0,174700.0,2159.2
0.01,847.0,186950.0,2716.5,0.0,0.0,0.0,724.0,178550.0,2509.5
0.02,672.0,201250.0,4697.0,0.0,0.0,0.0,639.0,187000.0,4379.0
0.04,659.0,202150.0,8745.0,0.0,0.0,0.0,630.0,186250.0,8142.0
0.08,621.0,202700.0,16837.0,0.0,0.0,0.0,627.0,189550.0,15847.0
0.1,632.0,202600.0,20892.0,0.0,0.0,0.0,600.0,189000.0,19668.0
0.2,577.0,202300.0,41037.0,0.0,0.0,0.0,596.0,187900.0,38499.0
0.4,585.0,202900.0,81745.0,0.0,0.0,0.0,585.0,189350.0,76426.0
1.0,581.0,203000.0,203581.0,0.0,0.0,0.0,591.0,190100.0,190759.0
10.0,606.0,202750.0,2028106.0,0.0,0.0,0.0,601.0,189200.0,1907524.0
