beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,752.0,172700.0,752.0,0.0,0.0,0.0,748.0,172500.0,748.0
1e-05,751.0,171700.0,752.717,0.0,0.0,0.0,742.0,171250.0,743.7125
2e-05,750.0,170700.0,753.414,0.0,0.0,0.0,740.0,160700.0,743.214
4e-05,752.0,172700.0,758.908,0.0,0.0,0.0,744.0,164700.0,750.588
8e-05,752.0,172700.0,765.816,0.0,0.0,0.0,746.0,166700.0,759.336
0.0001,752.0,172700.0,769.27,0.0,0.0,0.0,746.0,172400.0,763.24
0.0002,750.0,170700.0,784.14,0.0,0.0,0.0,741.0,170250.0,775.05
0.0004,751.0,171700.0,819.68,0.0,0.0,0.0,744.0,171350.0,812.54
0.0008,750.0,170700.0,886.56,0.0,0.0,0.0,743.0,170350.0,879.28
0.001,751.0,171700.0,922.7,0.0,0.0,0.0,744.0,171350.0,915.35
0.002,752.0,172700.0,1097.4,0.0,0.0,0.0,744.0,172300.0,1088.6
0.004,752.0,172700.0,1442.8,0.0,0.0,0.0,742.0,172200.0,1430.8
0.008,753.0,173700.0,2142.6,0.0,0.0,0.0,739.0,173000.0,2123.0
0.01,753.0,173700.0,2490.0,0.0,0.0,0.0,753.0,173700.0,2490.0
0.02,753.0,173700.0,4227.0,0.0,0.0,0.0,750.0,173550.0,4221.0
0.04,753.0,173700.0,7701.0,0.0,0.0,0.0,752.0,173650.0,7698.0
0.08,752.0,172700.0,14568.0,0.0,0.0,0.0,752.0,172700.0,14568.0
0.1,753.0,173700.0,18123.0,0.0,0.0,0.0,751.0,173600.0,18111.0
0.2,753.0,173700.0,35493.0,0.0,0.0,0.0,753.0,173700.0,35493.0
0.4,752.0,172700.0,69832.0,0.0,0.0,0.0,747.0,172450.0,69727.0
1.0,753.0,173700.0,174453.0,0.0,0.0,0.0,752.0,173650.0,174402.0
10.0,753.0,173700.0,1737753.0,0.0,0.0,0.0,753.0,173700.0,1737753.0
