beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,1056.0,201650.0,1056.0,0.0,0.0,0.0,1019.0,186050.0,1019.0
1e-05,1054.0,199050.0,1055.9905,0.0,0.0,0.0,1022.0,185250.0,1023.8525
2e-05,1055.0,199450.0,1058.989,0.0,0.0,0.0,1012.0,181700.0,1015.634
4e-05,1057.0,206250.0,1065.25,0.0,0.0,0.0,1020.0,190400.0,1027.616
8e-05,1054.0,204750.0,1070.38,0.0,0.0,0.0,1012.0,188650.0,1027.092
0.0001,1054.0,204150.0,1074.415,0.0,0.0,0.0,1013.0,190250.0,1032.025
0.0002,1057.0,206250.0,1098.25,0.0,0.0,0.0,1014.0,190100.0,1052.02
0.0004,1057.0,203850.0,1138.54,0.0,0.0,0.0,1011.0,188900.0,1086.56
0.0008,1057.0,206850.0,1222.48,0.0,0.0,0.0,1013.0,190650.0,1165.52
0.001,1058.0,205450.0,1263.45,0.0,0.0,0.0,1017.0,191250.0,1208.25
0.002,1056.0,208950.0,1473.9,0.0,0.0,0.0,1011.0,190450.0,1391.9
0.004,1055.0,209650.0,1893.6,0.0,0.0,0.0,1007.0,190950.0,1770.8
0.008,1046.0,212600.0,2746.8,0.0,0.0,0.0,1010.0,191650.0,2543.2
0.01,1048.0,212600.0,3174.0,0.0,0.0,0.0,999.0,195150.0,2950.5
0.02,1023.0,214650.0,5316.0,0.0,0.0,0.0,848.0,202150.0,4891.0
0.04,1031.0,214550.0,9613.0,0.0,0.0,0.0,848.0,202150.0,8934.0
0.08,959.0,215600.0,18207.0,0.0,0.0,0.0,848.0,202150.0,17020.0
0.1,961.0,215750.0,22536.0,0.0,0.0,0.0,808.0,204800.0,21288.0
0.2,957.0,215700.0,44097.0,0.0,0.0,0.0,799.0,204000.0,41599.0
0.4,970.0,215850.0,87310.0,0.0,0.0,0.0,794.0,202450.0,81774.0
1.0,940.0,215450.0,216390.0,0.0,0.0,0.0,799.0,202850.0,203649.0
10.0,961.0,215550.0,2156461.0,0.0,0.0,0.0,821.0,205250.0,2053321.0
