beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,1009.0,197000.0,1009.0,0.0,0.0,0.0,981.0,178150.0,981.0
1e-05,1010.0,197750.0,1011.9775,0.0,0.0,0.0,979.0,175950.0,980.7595
2e-05,1012.0,200600.0,1016.012,0.0,0.0,0.0,983.0,180800.0,986.616
4e-05,1011.0,200550.0,1019.022,0.0,0.0,0.0,976.0,178500.0,983.14
8e-05,1009.0,195800.0,1024.664,0.0,0.0,0.0,981.0,174950.0,994.996
0.0001,1011.0,199350.0,1030.935,0.0,0.0,0.0,982.0,177650.0,999.765
0.0002,1012.0,201550.0,1052.31,0.0,0.0,0.0,978.0,177700.0,1013.54
0.0004,1012.0,201900.0,1092.76,0.0,0.0,0.0,976.0,178300.0,1047.32
0.0008,1012.0,201800.0,1173.44,0.0,0.0,0.0,977.0,179100.0,1120.28
0.001,1011.0,202700.0,1213.7,0.0,0.0,0.0,979.0,180850.0,1159.85
0.002,1012.0,203350.0,1418.7,0.0,0.0,0.0,980.0,178300.0,1336.6
0.004,1011.0,204700.0,1829.8,0.0,0.0,0.0,980.0,179000.0,1696.0
0.008,1005.0,205800.0,2651.4,0.0,0.0,0.0,875.0,198450.0,2462.6
0.01,1000.0,206250.0,3062.5,0.0,0.0,0.0,845.0,195350.0,2798.5
0.02,992.0,206600.0,5124.0,0.0,0.0,0.0,845.0,195350.0,4752.0
0.04,996.0,206450.0,9254.0,0.0,0.0,0.0,837.0,195700.0,8665.0
0.08,967.0,207000.0,17527.0,0.0,0.0,0.0,814.0,195750.0,16474.0
0.1,971.0,206850.0,21656.0,0.0,0.0,0.0,845.0,195350.0,20380.0
0.2,972.0,206900.0,42352.0,0.0,0.0,0.0,815.0,195650.0,39945.0
0.4,982.0,206800.0,83702.0,0.0,0.0,0.0,813.0,195750.0,79113.0
1.0,969.0,206750.0,207719.0,0.0,0.0,0.0,813.0,196300.0,197113.0
10.0,970.0,206800.0,2068970.0,0.0,0.0,0.0,825.0,195900.0,1959825.0
